"time","serial|position","serial|force","serial|acceleration","serial|velocity","serial|repetitions","serial|travel","serial|coil force","serial|calibration force","serial|power","serial|energy","serial|kCal","serial|active","can|voltage","can|current","can|temperature","can|errors","can|force","can|relay status","can|12v status"
0,231,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
5,165,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
10,198,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
15,198,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
20,198,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
25,198,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
30,231,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
35,165,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
40,198,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
45,198,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
50,165,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
55,231,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
60,198,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
65,231,14917,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14917,0,0
70,198,14918,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14918,0,0
75,198,14919,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14919,0,0
80,231,14920,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14920,0,0
85,231,14921,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14921,0,0
90,198,14922,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14922,0,0
95,165,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
100,198,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
105,198,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
110,231,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
115,198,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
120,231,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
125,165,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
130,198,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
135,198,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
140,198,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
145,231,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
150,198,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
155,231,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
160,198,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
165,231,14925,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14925,0,0
170,231,14925,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14925,0,0
175,198,14926,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14926,0,0
180,231,14926,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14926,0,0
185,231,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
190,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
195,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
200,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
205,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
210,165,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
215,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
220,198,14927,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14927,0,0
225,198,14926,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14926,0,0
230,165,14925,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14925,0,0
235,198,14924,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14924,0,0
240,231,14923,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14923,0,0
245,198,14922,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14922,0,0
250,198,14920,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14920,0,0
255,198,14918,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14918,0,0
260,198,14916,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14916,0,0
265,198,14914,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14914,0,0
270,198,14912,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14912,0,0
275,165,14910,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14910,0,0
280,198,14907,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14907,0,0
285,198,14905,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14905,0,0
290,231,14903,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14903,0,0
295,231,14901,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14901,0,0
300,198,14899,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14899,0,0
305,198,14897,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14897,0,0
310,198,14895,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14895,0,0
315,198,14894,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14894,0,0
320,198,14893,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14893,0,0
325,198,14891,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14891,0,0
330,198,14890,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14890,0,0
335,198,14889,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14889,0,0
340,198,14888,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14888,0,0
345,198,14888,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14888,0,0
350,198,14888,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14888,0,0
355,165,14887,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14887,0,0
360,165,14886,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14886,0,0
365,198,14885,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14885,0,0
370,198,14884,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14884,0,0
375,231,14883,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14883,0,0
380,198,14881,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14881,0,0
385,198,14880,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14880,0,0
390,198,14878,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14878,0,0
395,198,14876,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14876,0,0
400,198,14873,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14873,0,0
405,198,14871,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14871,0,0
410,165,14868,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14868,0,0
415,198,14864,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14864,0,0
420,165,14861,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14861,0,0
425,198,14857,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14857,0,0
430,198,14853,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14853,0,0
435,198,14850,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14850,0,0
440,198,14846,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14846,0,0
445,198,14843,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14843,0,0
450,231,14840,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14840,0,0
455,165,14838,38.03,35.49,0,0,3.549,0,0.051606861,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14838,0,0
460,198,14835,36.31,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14835,0,0
465,198,14833,-3.41,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14833,0,0
470,198,14832,-3.33,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14832,0,0
475,165,14831,-3.28,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14831,0,0
480,198,14831,-3.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14831,0,0
485,231,14831,-2.99,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14831,0,0
490,231,14831,-2.91,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14831,0,0
495,198,14832,-2.73,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14832,0,0
500,198,14832,-2.54,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14832,0,0
505,165,14833,-2.44,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14833,0,0
510,198,14834,-2.25,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14834,0,0
